var_name;label;var_values
stfeco;How satisfied with present state of economy in country;" chr [1:11] ""[0] Extremely dissatisfied"" ""[1] 1"" ""[2] 2"" ""[3] 3"" ""[4] 4"" ""[5] 5"" ""[6] 6"" ""[7] 7"" ""[8] 8"" ""[9] 9"" ""[10] Extremely satisfied"""
stfgov;How satisfied with the national government;" chr [1:11] ""[0] Extremely dissatisfied"" ""[1] 1"" ""[2] 2"" ""[3] 3"" ""[4] 4"" ""[5] 5"" ""[6] 6"" ""[7] 7"" ""[8] 8"" ""[9] 9"" ""[10] Extremely satisfied"""
stfdem;How satisfied with the way democracy works in country;" chr [1:11] ""[0] Extremely dissatisfied"" ""[1] 1"" ""[2] 2"" ""[3] 3"" ""[4] 4"" ""[5] 5"" ""[6] 6"" ""[7] 7"" ""[8] 8"" ""[9] 9"" ""[10] Extremely satisfied"""
stfedu;State of education in country nowadays;" chr [1:11] ""[0] Extremely bad"" ""[1] 1"" ""[2] 2"" ""[3] 3"" ""[4] 4"" ""[5] 5"" ""[6] 6"" ""[7] 7"" ""[8] 8"" ""[9] 9"" ""[10] Extremely good"""
stfhlth;State of health services in country nowadays;" chr [1:11] ""[0] Extremely bad"" ""[1] 1"" ""[2] 2"" ""[3] 3"" ""[4] 4"" ""[5] 5"" ""[6] 6"" ""[7] 7"" ""[8] 8"" ""[9] 9"" ""[10] Extremely good"""
happy;How happy are you;" chr [1:11] ""[0] Extremely unhappy"" ""[1] 1"" ""[2] 2"" ""[3] 3"" ""[4] 4"" ""[5] 5"" ""[6] 6"" ""[7] 7"" ""[8] 8"" ""[9] 9"" ""[10] Extremely happy"""
health;Subjective general health;" chr [1:5] ""[1] Very good"" ""[2] Good"" ""[3] Fair"" ""[4] Bad"" ""[5] Very bad"""
rlgblg;Belonging to particular religion or denomination;" chr [1:2] ""[1] Yes"" ""[2] No"""
rlgdnm;Religion or denomination belonging to at present;" chr [1:8] ""[1] Roman Catholic"" ""[2] Protestant"" ""[3] Eastern Orthodox"" ""[4] Other Christian denomination"" ""[5] Jewish"" ""[6] Islamic"" ""[7] Eastern religions"" ""[8] Other non-Christian religions"""
rlgblge;Ever belonging to particular religion or denomination;" chr [1:2] ""[1] Yes"" ""[2] No"""
rlgdnme;Religion or denomination belonging to in the past;" chr [1:8] ""[1] Roman Catholic"" ""[2] Protestant"" ""[3] Eastern Orthodox"" ""[4] Other Christian denomination"" ""[5] Jewish"" ""[6] Islamic"" ""[7] Eastern religions"" ""[8] Other non-Christian religions"""
rlgdgr;How religious are you;" chr [1:11] ""[0] Not at all religious"" ""[1] 1"" ""[2] 2"" ""[3] 3"" ""[4] 4"" ""[5] 5"" ""[6] 6"" ""[7] 7"" ""[8] 8"" ""[9] 9"" ""[10] Very religious"""
ctzcntr;Citizen of country;" chr [1:2] ""[1] Yes"" ""[2] No"""
ctzshipd;Citizenship;" chr [1:12] ""6666"" ""6500"" ""RU"" ""UA"" ""AM"" ""FR"" ""BY"" ""LV"" ""DE"" ""AZ"" ""LT"" ""SE"""
brncntr;Born in country;" chr [1:2] ""[1] Yes"" ""[2] No"""
cntbrthd;Country of birth;" chr [1:18] ""RU"" ""6666"" ""KZ"" ""UA"" ""FI"" ""AM"" ""FR"" ""BY"" ""DE"" ""LV"" ""LT"" ""AZ"" ""GE"" ""KG"" ""TM"" ""UZ"" ""CN"" ""SE"""
lnghom1;Language most often spoken at home: first mentioned;" chr [1:9] ""EST"" ""RUS"" ""ARM"" ""UKR"" ""FRE"" ""AZE"" ""TAT"" ""ENG"" ""LAV"""
lnghom2;Language most often spoken at home: second mentioned;" chr [1:14] ""000"" ""888"" ""ENG"" ""999"" ""RUS"" ""FIN"" ""UKR"" ""EST"" ""GER"" ""BEL"" ""KAZ"" ""TUR"" ""SWE"" ""ITA"""
gndr;Gender;" chr [1:2] ""[1] Male"" ""[2] Female"""
agea;Age of respondent, calculated; Named num(0) 
yrbrn;Year of birth; Named num(0) 
rshpsts;Relationship with husband/wife/partner currently living with;" chr [1:6] ""[1] Legally married"" ""[2] In a legally registered civil union"" ""[3] Living with my partner - not legally recognised"" ""[4] Living with my partner - legally recognised"" ""[5] Legally separated"" ""[6] Legally divorced/Civil union dissolved"""
marsts;Legal marital status;" chr [1:6] ""[1] Legally married"" ""[2] In a legally registered civil union"" ""[3] Legally separated"" ""[4] Legally divorced/Civil union dissolved"" ""[5] Widowed/Civil partner died"" ""[6] None of these (NEVER married or in legally registered civil union)"""
domicil;Domicile, respondent's description;" chr [1:5] ""[1] A big city"" ""[2] Suburbs or outskirts of big city"" ""[3] Town or small city"" ""[4] Country village"" ""[5] Farm or home in countryside"""
edlvdee;Highest level of education, Estonia;" chr [1:16] ""[0] Alghariduseta (alla 4 klassi)"" ""[113] L<U+00C3>µpetatud algharidus (4-6 klassi)"" ""[129] Kutse<U+00C3>µpe ilma alghariduse l<U+00C3>µpetamiseta"" ""[213] L<U+00C3>µpetatud p<U+00C3>µhiharidus (7-9 klassi)"" ""[229] Kutseharidus p<U+00C3>µhihariduse baasil <U+00C3>µppekava alla 2 aasta"" ""[313] L<U+00C3>µpetatud <U+00C3>¼ldkeskharidus"" ""[321] Kutseharidus p<U+00C3>µhihariduse baasil <U+00C3>µppekava 2 aastat v<U+00C3>µi enam"" ""[323] Kutseharidus koos keskhariduse omandamisega v<U+00C3>µi keskeri-/tehnikumiharidus p<U+00C3>¤ra"" ""[423] Kutseharidus keskhariduse baasil, keskeriharidus v<U+00C3>µi kutsekeskharidus keskharid"" ""[520] Keskhariduse baasil kutsek<U+00C3>µrgkooli, rakendusk<U+00C3>µrgkooli diplomi<U+00C3>µpe (kuni 2 aast"" ""[610] Kutsek<U+00C3>µrgharidus, rakendusk<U+00C3>µrgharidus diplomi<U+00C3>µpe v<U+00C3>µi bakalaureus (3-4 aastat"" ""[620] <U+00C3><U+0153>likooli bakalaureusekraad (3-4 aastat <U+00C3>µpinguid)"" ""[710] Magistrikraad rakendusk<U+00C3>µrgkoolist, kutsek<U+00C3>µrgkoolist"" ""[720] Magistrikraad (3+2, v<U+00C3>µi 4+2, 5+4 s<U+00C3>¼steemi j<U+00C3>¤rgi, sh integreeritud bakalaureus"" ""[800] Doktorikraad (sh kandidaadikraad)"" ""[5555] Other"""
eduyrs;Years of full-time education completed; Named num(0) 
mnactic;Main activity, last 7 days. All respondents. Post coded;" chr [1:9] ""[1] Paid work"" ""[2] Education"" ""[3] Unemployed, looking for job"" ""[4] Unemployed, not looking for job"" ""[5] Permanently sick or disabled"" ""[6] Retired"" ""[7] Community or military service"" ""[8] Housework, looking after children, others"" ""[9] Other"""
pdjobev;Ever had a paid job;" chr [1:2] ""[1] Yes"" ""[2] No"""
pdjobyr;Year last in paid job; Named num(0) 
emplrel;Employment relation;" chr [1:3] ""[1] Employee"" ""[2] Self-employed"" ""[3] Working for own family business"""
emplno;Number of employees respondent has/had; Named num(0) 
wrkctra;Employment contract unlimited or limited duration;" chr [1:3] ""[1] Unlimited"" ""[2] Limited"" ""[3] No contract"""
estsz;Establishment size;" chr [1:5] ""[1] Under 10"" ""[2] 10 to 24"" ""[3] 25 to 99"" ""[4] 100 to 499"" ""[5] 500 or more"""
jbspv;Responsible for supervising other employees;" chr [1:2] ""[1] Yes"" ""[2] No"""
njbspv;Number of people responsible for in job; Named num(0) 
wkdcorga;Allowed to decide how daily work is organised;" chr [1:11] ""[0] I have/had no influence"" ""[1] 1"" ""[2] 2"" ""[3] 3"" ""[4] 4"" ""[5] 5"" ""[6] 6"" ""[7] 7"" ""[8] 8"" ""[9] 9"" ""[10] I have/had complete control"""
iorgact;Allowed to influence policy decisions about activities of organisation;" chr [1:11] ""[0] I have/had no influence"" ""[1] 1"" ""[2] 2"" ""[3] 3"" ""[4] 4"" ""[5] 5"" ""[6] 6"" ""[7] 7"" ""[8] 8"" ""[9] 9"" ""[10] I have/had complete control"""
wkhct;Total contracted hours per week in main job overtime excluded; Named num(0) 
icwhct;Have a set 'basic' or contracted number of hours;" chr [1:2] ""[1] Yes"" ""[2] No"""
wkhtot;Total hours normally worked per week in main job overtime included; Named num(0) 
nacer2;Industry, NACE rev.2;" chr [1:88] ""[1] Crop and animal production, hunting and related service activities"" ""[2] Forestry and logging"" ""[3] Fishing and aquaculture"" ""[5] Mining of coal and lignite"" ""[6] Extraction of crude petroleum and natural gas"" ""[7] Mining of metal ores"" ""[8] Other mining and quarrying"" ""[9] Mining support service activities"" ""[10] Manufacture of food products"" ""[11] Manufacture of beverages"" ""[12] Manufacture of tobacco products"" ""[13] Manufacture of textiles"" ""[14] Manufacture of wearing apparel"" ""[15] Manufacture of leather and related products"" ""[16] Manufacture of wood and of products of wood and cork, except furniture; manufact"" ""[17] Manufacture of paper and paper products"" ""[18] Printing and reproduction of recorded media"" ""[19] Manufacture of coke and refined petroleum products"" ""[20] Manufacture of chemicals and chemical products"" ""[21] Manufacture of basic pharmaceutical products and pharmaceutical preparations"" ""[22] Manufacture of rubber and plastic products"" ""[23] Manufacture of other non-metallic mineral products"" ""[24] Manufacture of basic metals"" ""[25] Manufacture of fabricated metal products, except machinery and equipment"" ""[26] Manufacture of computer, electronic and optical products"" ""[27] Manufacture of electrical equipment"" ""[28] Manufacture of machinery and equipment n.e.c."" ""[29] Manufacture of motor vehicles, trailers and semi-trailers"" ""[30] Manufacture of other transport equipment"" ""[31] Manufacture of furniture"" ""[32] Other manufacturing"" ""[33] Repair and installation of machinery and equipment"" ""[35] Electricity, gas, steam and air conditioning supply"" ""[36] Water collection, treatment and supply"" ""[37] Sewerage"" ""[38] Waste collection, treatment and disposal activities; materials recovery"" ""[39] Remediation activities and other waste management services"" ""[41] Construction of buildings"" ""[42] Civil engineering"" ""[43] Specialised construction activities"" ""[45] Wholesale and retail trade and repair of motor vehicles and motorcycles"" ""[46] Wholesale trade, except of motor vehicles and motorcycles"" ""[47] Retail trade, except of motor vehicles and motorcycles"" ""[49] Land transport and transport via pipelines"" ""[50] Water transport"" ""[51] Air transport"" ""[52] Warehousing and support activities for transportation"" ""[53] Postal and courier activities"" ""[55] Accommodation"" ""[56] Food and beverage service activities"" ""[58] Publishing activities"" ""[59] Motion picture, video and television programme production, sound recording and m"" ""[60] Programming and broadcasting activities"" ""[61] Telecommunications"" ""[62] Computer programming, consultancy and related activities"" ""[63] Information service activities"" ""[64] Financial service activities, except insurance and pension funding"" ""[65] Insurance, reinsurance and pension funding, except compulsory social security"" ""[66] Activities auxiliary to financial services and insurance activities"" ""[68] Real estate activities"" ""[69] Legal and accounting activities"" ""[70] Activities of head offices; management consultancy activities"" ""[71] Architectural and engineering activities; technical testing and analysis"" ""[72] Scientific research and development"" ""[73] Advertising and market research"" ""[74] Other professional, scientific and technical activities"" ""[75] Veterinary activities"" ""[77] Rental and leasing activities"" ""[78] Employment activities"" ""[79] Travel agency, tour operator and other reservation service and related activitie"" ""[80] Security and investigation activities"" ""[81] Services to buildings and landscape activities"" ""[82] Office administrative, office support and other business support activities"" ""[84] Public administration and defence; compulsory social security"" ""[85] Education"" ""[86] Human health activities"" ""[87] Residential care activities"" ""[88] Social work activities without accommodation"" ""[90] Creative, arts and entertainment activities"" ""[91] Libraries, archives, museums and other cultural activities"" ""[92] Gambling and betting activities"" ""[93] Sports activities and amusement and recreation activities"" ""[94] Activities of membership organisations"" ""[95] Repair of computers and personal and household goods"" ""[96] Other personal service activities"" ""[97] Activities of households as employers of domestic personnel"" ""[98] Undifferentiated goods- and services-producing activities of private households"" ""[99] Activities of extraterritorial organisations and bodies"""
tporgwk;What type of organisation work/worked for;" chr [1:6] ""[1] Central or local government"" ""[2] Other public sector (such as education and health)"" ""[3] A state owned enterprise"" ""[4] A private firm"" ""[5] Self employed"" ""[6] Other"""
